onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
0.172192	0.004000	dropped_samples	1690.679497	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
3.149618	0.012000	dropped_samples	1693.656923	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.341363	0.012000	dropped_samples	1693.848668	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.653697	0.012000	dropped_samples	1694.161002	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
4.881788	0.012000	dropped_samples	1695.389093	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.681974	0.008000	dropped_samples	1698.189279	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
8.185473	0.004000	dropped_samples	1698.692778	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
8.907520	0.008000	dropped_samples	1699.414825	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
11.587890	0.008000	dropped_samples	1702.095195	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
11.591587	0.012000	dropped_samples	1702.098892	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.728662	0.024000	dropped_samples	1702.235967	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
11.763996	0.028000	dropped_samples	1702.271301	Dropped 7 samples	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
21.077382	0.012000	dropped_samples	1711.584686	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
21.314994	0.012000	dropped_samples	1711.822299	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.305881	0.012000	dropped_samples	1712.813185	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.362190	0.012000	dropped_samples	1712.869495	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.363950	0.012000	dropped_samples	1712.871254	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.393941	0.076000	dropped_samples	1712.901246	Dropped 19 samples	n/a	n/a	n/a	n/a	19	UoHDataOffsetStream
22.516000	0.004000	dropped_samples	1713.023305	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
22.993855	0.012000	dropped_samples	1713.501159	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
23.018924	0.012000	dropped_samples	1713.526229	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
23.197027	0.004000	dropped_samples	1713.704332	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
25.201502	0.004000	dropped_samples	1715.708807	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
26.402717	0.012000	dropped_samples	1716.910022	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
28.829505	0.012000	dropped_samples	1719.336810	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
29.462161	0.012000	dropped_samples	1719.969466	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
31.563828	0.012000	dropped_samples	1722.071133	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
32.476976	0.004000	dropped_samples	1722.984281	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
32.816118	0.004000	dropped_samples	1723.323423	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.722105	0.004000	dropped_samples	1724.229410	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
34.757258	0.004000	dropped_samples	1725.264563	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
35.933997	0.028000	dropped_samples	1726.441302	Dropped 7 samples	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
36.793412	0.012000	dropped_samples	1727.300717	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
36.939891	0.012000	dropped_samples	1727.447196	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
37.635051	0.004000	dropped_samples	1728.142355	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
40.212573	0.008000	dropped_samples	1730.719877	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
44.308063	0.004000	dropped_samples	1734.815368	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
45.914502	0.004000	dropped_samples	1736.421807	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
46.036586	0.004000	dropped_samples	1736.543891	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
51.842270	0.004000	dropped_samples	1742.349574	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.445795	0.004000	dropped_samples	1745.953099	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.777824	0.004000	dropped_samples	1746.285129	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.997543	0.004000	dropped_samples	1746.504848	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
57.989749	0.004000	dropped_samples	1748.497054	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
59.186024	0.012000	dropped_samples	1749.693329	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
59.474101	0.008000	dropped_samples	1749.981406	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
62.116127	0.008000	dropped_samples	1752.623431	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
63.458524	0.016000	dropped_samples	1753.965828	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
63.985842	0.012000	dropped_samples	1754.493147	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
64.322801	0.004000	dropped_samples	1754.830106	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
66.023909	0.000000	started_tutorial_artihmetic	1756.531214	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
66.964427	0.012000	dropped_samples	1757.471732	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
70.348224	0.012000	dropped_samples	1760.855528	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
72.003403	0.004000	dropped_samples	1762.510708	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
74.786670	0.004000	dropped_samples	1765.293975	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
77.931176	0.004000	dropped_samples	1768.438480	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
82.338852	0.012000	dropped_samples	1772.846157	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
82.374598	0.004000	dropped_samples	1772.881903	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
83.043536	0.008000	dropped_samples	1773.550841	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
83.453705	0.008000	dropped_samples	1773.961010	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
85.954920	0.004000	dropped_samples	1776.462225	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
88.736776	0.008000	dropped_samples	1779.244081	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
88.780835	0.008000	dropped_samples	1779.288140	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
