onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
0.149151	0.012000	dropped_samples	5325.808082	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
1.257544	0.008000	dropped_samples	5326.916474	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
3.821037	0.004000	dropped_samples	5329.479967	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
4.641342	0.004000	dropped_samples	5330.300272	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
8.142316	0.012000	dropped_samples	5333.801247	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
13.137477	0.004000	dropped_samples	5338.796408	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.700952	0.004000	dropped_samples	5341.359882	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.945071	0.012000	dropped_samples	5341.604001	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.976335	0.004000	dropped_samples	5348.635265	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
25.686269	0.004000	dropped_samples	5351.345199	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
27.009547	0.004000	dropped_samples	5352.668478	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
27.966555	0.004000	dropped_samples	5353.625486	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
28.713648	0.012000	dropped_samples	5354.372579	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
34.856212	0.008000	dropped_samples	5360.515143	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
42.248804	0.008000	dropped_samples	5367.907734	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
43.327898	0.004000	dropped_samples	5368.986828	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
47.702281	0.008000	dropped_samples	5373.361212	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
47.741939	0.012000	dropped_samples	5373.400870	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
51.584841	0.004000	dropped_samples	5377.243772	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
