onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream	response_time
0.409847	0.012000	dropped_samples	3781.565982	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
1.256476	0.008000	dropped_samples	3782.412610	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
1.586503	0.008000	dropped_samples	3782.742637	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
1.801367	0.004000	dropped_samples	3782.957501	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
3.603117	0.012000	dropped_samples	3784.759251	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
5.596010	0.012000	dropped_samples	3786.752144	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
6.986942	0.004000	dropped_samples	3788.143076	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
7.900013	0.012000	dropped_samples	3789.056148	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
8.873087	0.004000	dropped_samples	3790.029221	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
8.905834	0.004000	dropped_samples	3790.061968	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
9.316030	0.004000	dropped_samples	3790.472164	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
9.745854	0.008000	dropped_samples	3790.901988	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
10.873645	0.008000	dropped_samples	3792.029780	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
11.357100	0.040000	dropped_samples	3792.513234	Dropped 10 samples	n/a	n/a	n/a	n/a	10	UoHDataOffsetStream	n/a
11.977139	0.012000	dropped_samples	3793.133273	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
12.699798	0.008000	dropped_samples	3793.855932	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
18.413828	0.044000	dropped_samples	3799.569962	Dropped 11 samples	n/a	n/a	n/a	n/a	11	UoHDataOffsetStream	n/a
22.924442	0.004000	dropped_samples	3804.080576	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
28.349200	0.004000	dropped_samples	3809.505334	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
29.307501	0.004000	dropped_samples	3810.463635	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
32.978195	0.012000	dropped_samples	3814.134329	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
33.174898	0.000000	started_tutorial_artihmetic	3814.331032	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers	n/a
34.013364	0.012000	dropped_samples	3815.169498	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
34.731190	0.012000	dropped_samples	3815.887324	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
35.507121	0.012000	dropped_samples	3816.663255	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
38.017254	0.012000	dropped_samples	3819.173388	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
38.813176	0.008000	dropped_samples	3819.969310	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
40.276585	0.004000	dropped_samples	3821.432719	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
43.705983	0.004000	dropped_samples	3824.862117	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
45.322498	0.004000	dropped_samples	3826.478632	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
49.037814	0.008000	dropped_samples	3830.193949	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
55.922593	0.012000	dropped_samples	3837.078727	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
56.186290	0.004000	dropped_samples	3837.342424	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
57.675546	0.004000	dropped_samples	3838.831680	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
58.277599	0.012000	dropped_samples	3839.433733	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
58.373758	0.004000	dropped_samples	3839.529892	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
58.532939	0.008000	dropped_samples	3839.689073	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
