onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream	response_time
0.383848	0.012000	dropped_samples	10676.055620	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
1.321574	0.012000	dropped_samples	10676.993346	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
2.283269	0.012000	dropped_samples	10677.955040	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
2.998451	0.004000	dropped_samples	10678.670223	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
3.025443	0.012000	dropped_samples	10678.697214	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
3.406471	0.012000	dropped_samples	10679.078242	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
3.862381	0.012000	dropped_samples	10679.534153	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
3.876652	0.012000	dropped_samples	10679.548424	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
3.914211	0.008000	dropped_samples	10679.585983	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
5.930731	0.004000	dropped_samples	10681.602502	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
6.485630	0.012000	dropped_samples	10682.157401	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
7.948745	0.012000	dropped_samples	10683.620516	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
9.945549	0.004000	dropped_samples	10685.617321	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
9.951920	0.012000	dropped_samples	10685.623692	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
9.993729	0.012000	dropped_samples	10685.665500	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
10.081185	0.004000	dropped_samples	10685.752956	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
10.369245	0.012000	dropped_samples	10686.041016	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
10.706131	0.012000	dropped_samples	10686.377903	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
