onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
3.327104	0.004000	dropped_samples	5163.095741	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
3.772337	0.012000	dropped_samples	5163.540974	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
6.247977	0.012000	dropped_samples	5166.016614	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.590749	0.004000	dropped_samples	5167.359386	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
13.420936	0.004000	dropped_samples	5173.189573	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
14.407142	0.004000	dropped_samples	5174.175779	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.413065	0.004000	dropped_samples	5175.181702	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
17.551707	0.012000	dropped_samples	5177.320343	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
19.255813	0.004000	dropped_samples	5179.024450	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
24.822259	0.012000	dropped_samples	5184.590896	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
27.151356	0.004000	dropped_samples	5186.919992	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
29.597691	0.012000	dropped_samples	5189.366328	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
30.032251	0.004000	dropped_samples	5189.800887	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
30.535308	0.004000	dropped_samples	5190.303944	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
31.423923	0.004000	dropped_samples	5191.192560	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.005909	0.004000	dropped_samples	5192.774546	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.079134	0.004000	dropped_samples	5192.847770	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.440472	0.012000	dropped_samples	5193.209109	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
