onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
0.813005	0.004000	dropped_samples	2622.061107	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
1.174442	0.004000	dropped_samples	2622.422543	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
6.237830	0.004000	dropped_samples	2627.485932	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
7.531824	0.004000	dropped_samples	2628.779926	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
8.493747	0.004000	dropped_samples	2629.741848	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
9.284731	0.004000	dropped_samples	2630.532833	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
9.722854	0.004000	dropped_samples	2630.970955	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
10.437093	0.004000	dropped_samples	2631.685194	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
14.323950	0.008000	dropped_samples	2635.572051	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
14.973200	0.004000	dropped_samples	2636.221302	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.335480	0.004000	dropped_samples	2636.583581	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
18.357058	0.004000	dropped_samples	2639.605159	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
18.669514	0.004000	dropped_samples	2639.917615	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
18.933738	0.004000	dropped_samples	2640.181839	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
19.343380	0.004000	dropped_samples	2640.591482	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
20.527619	0.000000	started_tutorial_artihmetic	2641.775721	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
25.363903	0.004000	dropped_samples	2646.612004	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
27.331705	0.004000	dropped_samples	2648.579807	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
32.351263	0.004000	dropped_samples	2653.599364	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.534564	0.004000	dropped_samples	2654.782666	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
34.392532	0.004000	dropped_samples	2655.640633	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
36.599251	0.004000	dropped_samples	2657.847353	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
37.702871	0.004000	dropped_samples	2658.950972	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
39.719509	0.012000	dropped_samples	2660.967611	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
43.318080	0.008000	dropped_samples	2664.566181	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
43.366945	0.004000	dropped_samples	2664.615047	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
