onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream	response_time
1.633505	0.008000	dropped_samples	4103.869640	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
1.728365	0.008000	dropped_samples	4103.964499	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
2.612304	0.012000	dropped_samples	4104.848438	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
3.696076	0.012000	dropped_samples	4105.932210	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
3.862164	0.012000	dropped_samples	4106.098299	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
5.351567	0.004000	dropped_samples	4107.587702	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
7.465699	0.008000	dropped_samples	4109.701834	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
8.017400	0.004000	dropped_samples	4110.253535	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
8.305464	0.012000	dropped_samples	4110.541599	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
8.808437	0.008000	dropped_samples	4111.044572	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
9.814279	0.008000	dropped_samples	4112.050413	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream	n/a
10.519368	0.012000	dropped_samples	4112.755502	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
10.561361	0.012000	dropped_samples	4112.797496	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
11.782096	0.004000	dropped_samples	4114.018231	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
12.265419	0.004000	dropped_samples	4114.501553	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
12.885528	0.012000	dropped_samples	4115.121662	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
15.551545	0.004000	dropped_samples	4117.787679	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream	n/a
16.221325	0.012000	dropped_samples	4118.457459	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
16.324044	0.012000	dropped_samples	4118.560178	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream	n/a
16.367012	0.032000	dropped_samples	4118.603147	Dropped 8 samples	n/a	n/a	n/a	n/a	8	UoHDataOffsetStream	n/a
