onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
6.794246	0.004000	dropped_samples	3429.855385	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
7.990423	0.008000	dropped_samples	3431.051562	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
8.093104	0.004000	dropped_samples	3431.154243	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
8.463197	0.012000	dropped_samples	3431.524336	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
8.499295	0.008000	dropped_samples	3431.560434	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
13.543420	0.012000	dropped_samples	3436.604559	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
14.142858	0.004000	dropped_samples	3437.203997	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.003493	0.004000	dropped_samples	3438.064632	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
17.814822	0.004000	dropped_samples	3440.875961	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
19.011069	0.044000	dropped_samples	3442.072208	Dropped 11 samples	n/a	n/a	n/a	n/a	11	UoHDataOffsetStream
20.173546	0.000000	started_tutorial_artihmetic	3443.234685	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
20.978900	0.004000	dropped_samples	3444.040039	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
22.155651	0.004000	dropped_samples	3445.216790	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
23.766994	0.004000	dropped_samples	3446.828133	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
26.574700	0.004000	dropped_samples	3449.635839	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
28.830470	0.008000	dropped_samples	3451.891609	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
31.877386	0.012000	dropped_samples	3454.938525	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
32.283140	0.004000	dropped_samples	3455.344279	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
32.883504	0.004000	dropped_samples	3455.944643	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
34.758333	0.004000	dropped_samples	3457.819472	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
37.419399	0.004000	dropped_samples	3460.480538	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
38.088304	0.004000	dropped_samples	3461.149443	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
40.373511	0.012000	dropped_samples	3463.434650	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
40.734863	0.004000	dropped_samples	3463.796002	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
43.278750	0.008000	dropped_samples	3466.339889	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
44.787531	0.008000	dropped_samples	3467.848670	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
46.540679	0.004000	dropped_samples	3469.601818	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
52.326601	0.012000	dropped_samples	3475.387740	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
55.045887	0.004000	dropped_samples	3478.107026	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.563946	0.012000	dropped_samples	3478.625085	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
55.710464	0.004000	dropped_samples	3478.771603	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
60.148932	0.004000	dropped_samples	3483.210071	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
64.709492	0.004000	dropped_samples	3487.770631	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
67.805184	0.004000	dropped_samples	3490.866323	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
70.134273	0.012000	dropped_samples	3493.195412	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
72.556193	0.004000	dropped_samples	3495.617332	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
76.638310	0.004000	dropped_samples	3499.699449	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
80.139282	0.004000	dropped_samples	3503.200421	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
84.099201	0.004000	dropped_samples	3507.160340	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
86.047507	0.004000	dropped_samples	3509.108646	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
86.173208	0.000000	5_1_6_0	3509.234347	5.1-6.0	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
89.860915	0.004000	dropped_samples	3512.922054	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
94.348280	0.004000	dropped_samples	3517.409419	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
95.500603	0.004000	dropped_samples	3518.561742	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
96.892191	0.004000	dropped_samples	3519.953330	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
96.985105	0.004000	dropped_samples	3520.046244	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
99.343398	0.004000	dropped_samples	3522.404537	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
100.373665	0.012000	dropped_samples	3523.434804	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
100.446985	0.004000	dropped_samples	3523.508124	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
104.530172	0.180000	dropped_samples	3527.591311	Dropped 45 samples	n/a	n/a	n/a	n/a	45	UoHDataOffsetStream
104.532123	0.160000	dropped_samples	3527.593262	Dropped 40 samples	n/a	n/a	n/a	n/a	40	UoHDataOffsetStream
104.573061	0.100000	dropped_samples	3527.634200	Dropped 25 samples	n/a	n/a	n/a	n/a	25	UoHDataOffsetStream
107.644216	0.012000	dropped_samples	3530.705355	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
108.171535	0.004000	dropped_samples	3531.232674	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
108.703791	0.004000	dropped_samples	3531.764930	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
111.124703	6.000000	5.1-6.0	3534.185842	5.1-6.0 Wrong tutorial	0	5.1-6.0	Wrong	true	n/a	arithmetic-Markers
113.142296	0.004000	dropped_samples	3536.203435	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
114.006551	0.004000	dropped_samples	3537.067690	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
114.368001	0.004000	dropped_samples	3537.429140	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
116.740919	0.012000	dropped_samples	3539.802058	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
117.632804	0.000000	4_2_5_1	3540.693943	4.2-5.1	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
118.015334	0.004000	dropped_samples	3541.076473	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
122.382424	0.004000	dropped_samples	3545.443563	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
125.119911	0.004000	dropped_samples	3548.181050	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
125.285894	0.004000	dropped_samples	3548.347033	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
128.003818	6.000000	4.2-5.1	3551.064957	4.2-5.1 Wrong tutorial	0	4.2-5.1	Wrong	true	n/a	arithmetic-Markers
130.759504	0.012000	dropped_samples	3553.820643	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
131.692373	0.004000	dropped_samples	3554.753512	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
132.556551	0.004000	dropped_samples	3555.617690	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
134.517454	0.000000	3_3_4_2	3557.578593	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
136.951042	0.012000	dropped_samples	3560.012181	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
138.581835	0.004000	dropped_samples	3561.642974	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
138.764512	0.012000	dropped_samples	3561.825651	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
138.796668	0.004000	dropped_samples	3561.857807	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
139.636519	0.004000	dropped_samples	3562.697658	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
142.639465	0.004000	dropped_samples	3565.700604	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
144.915909	6.000000	3.3-4.2	3567.977048	3.3-4.2 Wrong tutorial	0	3.3-4.2	Wrong	true	n/a	arithmetic-Markers
146.311314	0.008000	dropped_samples	3569.372453	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
146.814265	0.004000	dropped_samples	3569.875404	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
147.820142	0.008000	dropped_samples	3570.881281	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
149.928930	0.008000	dropped_samples	3572.990069	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
149.958815	0.008000	dropped_samples	3573.019954	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
151.410330	0.000000	0_6_1_5	3574.471469	0.6-1.5	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
153.581900	0.012000	dropped_samples	3576.643039	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
153.891846	6.000000	0.6-1.5	3576.952985	0.6-1.5 Correct tutorial	1	0.6-1.5	Correct	true	n/a	arithmetic-Markers
155.071116	0.004000	dropped_samples	3578.132255	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
159.079904	0.004000	dropped_samples	3582.141043	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
160.395578	0.000000	1_5_2_4	3583.456717	1.5-2.4	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
163.036405	6.000000	1.5-2.4	3586.097544	1.5-2.4 Correct tutorial	1	1.5-2.4	Correct	true	n/a	arithmetic-Markers
163.205920	0.004000	dropped_samples	3586.267059	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
164.309454	0.004000	dropped_samples	3587.370593	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
164.670761	0.024000	dropped_samples	3587.731900	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
165.032097	0.012000	dropped_samples	3588.093236	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
165.246990	0.004000	dropped_samples	3588.308129	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
