onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
0.434900	0.008000	dropped_samples	16193.889600	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
11.261326	0.012000	dropped_samples	16204.716026	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.386360	0.012000	dropped_samples	16204.841060	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.426086	0.012000	dropped_samples	16204.880786	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.831409	0.012000	dropped_samples	16205.286109	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
12.902629	0.004000	dropped_samples	16206.357329	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
12.934948	0.008000	dropped_samples	16206.389648	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
13.842855	0.000000	started_tutorial_artihmetic	16207.297555	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
14.087293	0.012000	dropped_samples	16207.541993	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
15.600942	0.008000	dropped_samples	16209.055642	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
16.104756	0.012000	dropped_samples	16209.559456	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
16.128318	0.012000	dropped_samples	16209.583018	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
16.474456	0.012000	dropped_samples	16209.929156	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
16.809222	0.012000	dropped_samples	16210.263922	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
16.850924	0.012000	dropped_samples	16210.305624	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
17.139070	0.008000	dropped_samples	16210.593770	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
17.881222	0.004000	dropped_samples	16211.335922	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
18.555040	0.004000	dropped_samples	16212.009740	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
21.362693	0.004000	dropped_samples	16214.817393	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
23.472042	0.008000	dropped_samples	16216.926742	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
24.985701	0.004000	dropped_samples	16218.440401	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
26.230859	0.004000	dropped_samples	16219.685559	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
30.503601	0.004000	dropped_samples	16223.958301	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
34.248460	0.012000	dropped_samples	16227.703160	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
35.786558	0.004000	dropped_samples	16229.241258	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
38.447687	0.012000	dropped_samples	16231.902387	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
40.659618	0.004000	dropped_samples	16234.114318	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
41.475033	0.004000	dropped_samples	16234.929733	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
43.154734	0.004000	dropped_samples	16236.609434	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
43.945750	0.004000	dropped_samples	16237.400450	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
46.011204	0.008000	dropped_samples	16239.465904	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
53.784662	0.004000	dropped_samples	16247.239362	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.225063	0.012000	dropped_samples	16248.679763	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
55.537524	0.008000	dropped_samples	16248.992224	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
55.728016	0.008000	dropped_samples	16249.182716	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
63.335451	0.012000	dropped_samples	16256.790151	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
63.721168	0.012000	dropped_samples	16257.175868	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
64.775887	0.012000	dropped_samples	16258.230587	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
71.328799	0.012000	dropped_samples	16264.783499	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
72.456547	0.004000	dropped_samples	16265.911247	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
74.761336	0.004000	dropped_samples	16268.216036	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
76.899933	0.004000	dropped_samples	16270.354633	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
77.451706	0.008000	dropped_samples	16270.906406	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
79.857218	0.000000	0_6_1_5	16273.311918	0.6-1.5	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
79.922576	0.008000	dropped_samples	16273.377276	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
80.811719	0.008000	dropped_samples	16274.266419	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
80.936994	6.000000	0.6-1.5	16274.391694	0.6-1.5 Correct tutorial	1	0.6-1.5	Correct	true	n/a	arithmetic-Markers
81.411774	0.004000	dropped_samples	16274.866474	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
82.561756	0.012000	dropped_samples	16276.016456	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
83.403984	0.012000	dropped_samples	16276.858684	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
83.643079	0.008000	dropped_samples	16277.097779	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
87.440754	0.000000	4_2_5_1	16280.895454	4.2-5.1	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
88.153396	6.000000	4.2-5.1	16281.608096	4.2-5.1 Wrong tutorial	0	4.2-5.1	Wrong	true	n/a	arithmetic-Markers
94.650383	0.000000	1_5_2_4	16288.105083	1.5-2.4	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
95.112839	0.004000	dropped_samples	16288.567539	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
95.273075	6.000000	1.5-2.4	16288.727775	1.5-2.4 Correct tutorial	1	1.5-2.4	Correct	true	n/a	arithmetic-Markers
95.903876	0.012000	dropped_samples	16289.358576	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
96.289569	0.008000	dropped_samples	16289.744269	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
97.754511	0.004000	dropped_samples	16291.209211	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
97.803311	0.004000	dropped_samples	16291.258011	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
98.955635	0.008000	dropped_samples	16292.410335	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
99.146127	0.012000	dropped_samples	16292.600827	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
99.336612	0.004000	dropped_samples	16292.791312	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
101.781177	0.000000	3_3_4_2	16295.235877	3.3-4.2	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
102.456608	0.012000	dropped_samples	16295.911308	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
102.857276	6.000000	3.3-4.2	16296.311976	3.3-4.2 Correct tutorial	1	3.3-4.2	Correct	true	n/a	arithmetic-Markers
102.915666	0.004000	dropped_samples	16296.370366	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
103.180080	0.012000	dropped_samples	16296.634780	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
104.356073	0.004000	dropped_samples	16297.810773	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
106.201738	0.004000	dropped_samples	16299.656438	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
109.356340	0.000000	6_0_6_9	16302.811040	6.0-6.9	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
109.760988	6.000000	6.0-6.9	16303.215688	6.0-6.9 Wrong tutorial	0	6.0-6.9	Wrong	true	n/a	arithmetic-Markers
110.867090	0.012000	dropped_samples	16304.321790	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
111.265258	0.012000	dropped_samples	16304.719958	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
112.824249	0.004000	dropped_samples	16306.278949	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
113.716397	0.012000	dropped_samples	16307.171097	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
113.906873	0.008000	dropped_samples	16307.361573	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
115.225230	0.016000	dropped_samples	16308.679930	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
115.298425	0.004000	dropped_samples	16308.753125	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
116.267434	0.000000	2_4_3_3	16309.722134	2.4-3.3	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
116.978153	0.008000	dropped_samples	16310.432853	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
117.626629	0.004000	dropped_samples	16311.081329	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
117.729742	0.020000	dropped_samples	16311.184442	Dropped 5 samples	n/a	n/a	n/a	n/a	5	UoHDataOffsetStream
117.731211	0.012000	dropped_samples	16311.185911	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
117.769139	0.028000	dropped_samples	16311.223838	Dropped 7 samples	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
118.158641	0.008000	dropped_samples	16311.613341	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
118.203739	0.008000	dropped_samples	16311.658439	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
118.438111	0.012000	dropped_samples	16311.892811	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
118.465486	6.000000	2.4-3.3	16311.920186	2.4-3.3 Correct tutorial	1	2.4-3.3	Correct	true	n/a	arithmetic-Markers
118.566621	0.008000	dropped_samples	16312.021321	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
118.609042	0.012000	dropped_samples	16312.063742	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
118.945913	0.004000	dropped_samples	16312.400613	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
119.371266	0.024000	dropped_samples	16312.825966	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
119.470136	0.008000	dropped_samples	16312.924836	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
119.555147	0.008000	dropped_samples	16313.009847	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
120.220293	0.004000	dropped_samples	16313.674992	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
121.195820	0.004000	dropped_samples	16314.650520	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
121.196559	0.008000	dropped_samples	16314.651258	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
121.299731	0.028000	dropped_samples	16314.754431	Dropped 7 samples	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
121.348247	0.012000	dropped_samples	16314.802946	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
122.041901	0.012000	dropped_samples	16315.496600	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
122.354121	0.012000	dropped_samples	16315.808820	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
123.122069	0.020000	dropped_samples	16316.576769	Dropped 5 samples	n/a	n/a	n/a	n/a	5	UoHDataOffsetStream
123.364891	0.008000	dropped_samples	16316.819591	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
124.273065	0.008000	dropped_samples	16317.727765	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
124.816922	0.008000	dropped_samples	16318.271621	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
124.878552	0.004000	dropped_samples	16318.333252	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
124.971354	0.000000	5_1_6_0	16318.426054	5.1-6.0	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
126.748610	0.004000	dropped_samples	16320.203310	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
129.722332	0.016000	dropped_samples	16323.177032	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
130.776989	0.004000	dropped_samples	16324.231689	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
131.401263	6.000000	5.1-6.0	16324.855963	5.1-6.0 Wrong tutorial	0	5.1-6.0	Wrong	true	n/a	arithmetic-Markers
131.904580	0.000000	finished_tutorial_arithmetic	16325.359280	Finished tutorial Arithmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
133.130497	0.004000	dropped_samples	16326.585197	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
133.560182	0.004000	dropped_samples	16327.014882	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
134.815423	0.012000	dropped_samples	16328.270123	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
134.834842	0.012000	dropped_samples	16328.289542	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
135.531716	0.012000	dropped_samples	16328.986416	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
135.538215	0.012000	dropped_samples	16328.992915	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
136.797769	0.028000	dropped_samples	16330.252469	Dropped 7 samples	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
138.579778	0.008000	dropped_samples	16332.034478	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
139.033859	0.008000	dropped_samples	16332.488559	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
141.792627	0.004000	dropped_samples	16335.247327	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
142.368846	0.008000	dropped_samples	16335.823546	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
143.140275	0.004000	dropped_samples	16336.594975	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
143.496744	0.008000	dropped_samples	16336.951444	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
143.809263	0.024000	dropped_samples	16337.263963	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
143.955807	0.008000	dropped_samples	16337.410507	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
144.195002	0.004000	dropped_samples	16337.649702	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
144.795934	0.012000	dropped_samples	16338.250634	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
