onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
0.273463	0.004000	dropped_samples	2848.662816	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
0.659242	0.004000	dropped_samples	2849.048594	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
4.257868	0.012000	dropped_samples	2852.647220	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
5.361381	0.004000	dropped_samples	2853.750733	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
7.451275	0.004000	dropped_samples	2855.840627	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
9.370445	0.004000	dropped_samples	2857.759798	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
11.435656	0.012000	dropped_samples	2859.825008	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.938577	0.012000	dropped_samples	2860.327929	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
13.212962	0.004000	dropped_samples	2861.602315	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.062292	0.004000	dropped_samples	2863.451644	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.371296	0.004000	dropped_samples	2863.760648	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
21.733522	0.004000	dropped_samples	2870.122874	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
22.245263	0.008000	dropped_samples	2870.634616	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
22.285272	0.012000	dropped_samples	2870.674624	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
28.066562	0.012000	dropped_samples	2876.455915	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
29.191390	0.000000	started_tutorial_artihmetic	2877.580743	Started tutorial artihmetic	n/a	n/a	n/a	n/a	n/a	arithmetic-Markers
30.273599	0.012000	dropped_samples	2878.662952	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
33.803906	0.004000	dropped_samples	2882.193259	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
36.660342	0.004000	dropped_samples	2885.049694	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
37.309758	0.008000	dropped_samples	2885.699110	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
38.051946	0.004000	dropped_samples	2886.441298	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
40.786391	0.008000	dropped_samples	2889.175743	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
43.979681	0.008000	dropped_samples	2892.369033	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
48.053672	0.008000	dropped_samples	2896.443024	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
48.086119	0.012000	dropped_samples	2896.475471	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
49.307573	0.012000	dropped_samples	2897.696926	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
49.309217	0.012000	dropped_samples	2897.698569	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
52.090160	0.004000	dropped_samples	2900.479512	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
53.388919	0.008000	dropped_samples	2901.778271	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
54.853824	0.004000	dropped_samples	2903.243176	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.019770	0.008000	dropped_samples	2903.409122	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
55.341535	0.004000	dropped_samples	2903.730887	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
55.821493	0.012000	dropped_samples	2904.210845	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
55.827624	0.012000	dropped_samples	2904.216977	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
55.859614	0.012000	dropped_samples	2904.248966	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
56.916362	0.004000	dropped_samples	2905.305714	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
58.261950	0.008000	dropped_samples	2906.651303	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
59.126524	0.008000	dropped_samples	2907.515876	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
59.278190	0.004000	dropped_samples	2907.667542	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
59.316672	0.008000	dropped_samples	2907.706024	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
61.119647	0.012000	dropped_samples	2909.508999	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
61.162387	0.008000	dropped_samples	2909.551739	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
63.013068	0.008000	dropped_samples	2911.402420	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
66.899757	0.008000	dropped_samples	2915.289110	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
68.794242	0.004000	dropped_samples	2917.183594	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
71.723951	0.012000	dropped_samples	2920.113303	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
76.045280	0.012000	dropped_samples	2924.434632	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
77.939800	0.012000	dropped_samples	2926.329153	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
78.840502	0.012000	dropped_samples	2927.229854	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
78.877364	0.008000	dropped_samples	2927.266716	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
81.850961	0.012000	dropped_samples	2930.240313	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
84.131281	0.012000	dropped_samples	2932.520634	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
84.516982	0.008000	dropped_samples	2932.906334	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
